X,Y,Z
-0.07575175, -0.8883727, -0.452828
-0.07575175, -0.8883727, -0.452828
-0.07575175, -0.8883727, -0.452828
-0.07359281, -0.8879786, -0.4539562
-0.07359281, -0.8879786, -0.4539562
-0.07359281, -0.8879786, -0.4539562
-0.07359281, -0.8879786, -0.4539562
-0.07182771, -0.8883237, -0.4535626
-0.07182771, -0.8883237, -0.4535626
-0.07182771, -0.8883237, -0.4535626
-0.07182771, -0.8883237, -0.4535626
-0.07210058, -0.8879747, -0.4542036
-0.07210058, -0.8879747, -0.4542036
-0.07210058, -0.8879747, -0.4542036
-0.07210058, -0.8879747, -0.4542036
-0.07210058, -0.8879747, -0.4542036
-0.07265323, -0.8869447, -0.4561227
-0.0717971, -0.886225, -0.4576548
-0.0717971, -0.886225, -0.4576548
-0.0717971, -0.886225, -0.4576548
-0.0717971, -0.886225, -0.4576548
-0.06847858, -0.8825596, -0.465185
-0.06847858, -0.8825596, -0.465185
-0.06847858, -0.8825596, -0.465185
-0.06847858, -0.8825596, -0.465185
-0.06847858, -0.8825596, -0.465185
-0.06183422, -0.8786328, -0.4734749
-0.06183422, -0.8786328, -0.4734749
-0.06183422, -0.8786328, -0.4734749
-0.06183422, -0.8786328, -0.4734749
-0.06183422, -0.8786328, -0.4734749
-0.05151081, -0.8749188, -0.4815198
-0.05151081, -0.8749188, -0.4815198
-0.04881537, -0.871936, -0.4871779
-0.04881537, -0.871936, -0.4871779
-0.04881537, -0.871936, -0.4871779
-0.04230696, -0.8631106, -0.5032386
-0.04230696, -0.8631106, -0.5032386
-0.04230696, -0.8631106, -0.5032386
-0.04230696, -0.8631106, -0.5032386
-0.04230696, -0.8631106, -0.5032386
-0.02018881, -0.8571942, -0.5145957
-0.02018881, -0.8571942, -0.5145957
-0.02018881, -0.8571942, -0.5145957
-0.02018881, -0.8571942, -0.5145957
-0.02018881, -0.8571942, -0.5145957
0.03212342, -0.8428662, -0.5371612
0.08357692, -0.8240907, -0.5602573
0.08357692, -0.8240907, -0.5602573
0.08357692, -0.8240907, -0.5602573
0.08357692, -0.8240907, -0.5602573
0.1087188, -0.8130203, -0.5719928
0.1087188, -0.8130203, -0.5719928
0.1087188, -0.8130203, -0.5719928
0.1087188, -0.8130203, -0.5719928
0.1087188, -0.8130203, -0.5719928
0.1328693, -0.7999573, -0.5851609
0.1328693, -0.7999573, -0.5851609
0.1207585, -0.6038354, -0.787908
0.1207585, -0.6038354, -0.787908
0.1207585, -0.6038354, -0.787908
0.1207585, -0.6038354, -0.787908
0.1207585, -0.6038354, -0.787908
0.07185467, -0.2550878, -0.9642442
0.07185467, -0.2550878, -0.9642442
0.07185467, -0.2550878, -0.9642442
0.04755829, 0.08492597, -0.9952516
0.04755829, 0.08492597, -0.9952516
0.04755829, 0.08492597, -0.9952516
0.04755829, 0.08492597, -0.9952516
0.04755829, 0.08492597, -0.9952516
0.06690837, -0.1344601, -0.9886575
0.06690837, -0.1344601, -0.9886575
0.06690837, -0.1344601, -0.9886575
-0.004550785, -0.2420406, -0.9702553
-0.004550785, -0.2420406, -0.9702553
-0.004550785, -0.2420406, -0.9702553
-0.004550785, -0.2420406, -0.9702553
-0.004550785, -0.2420406, -0.9702553
-0.02878676, -0.2073951, -0.9778336
-0.02878676, -0.2073951, -0.9778336
-0.02878676, -0.2073951, -0.9778336
0.02713778, -0.08581244, -0.9959416
0.02713778, -0.08581244, -0.9959416
0.02713778, -0.08581244, -0.9959416
0.02713778, -0.08581244, -0.9959416
0.08382965, -0.05829497, -0.9947734
0.08382965, -0.05829497, -0.9947734
0.08382965, -0.05829497, -0.9947734
0.08382965, -0.05829497, -0.9947734
0.08382965, -0.05829497, -0.9947734
0.01264376, -0.1162308, -0.9931417
0.01264376, -0.1162308, -0.9931417
0.01264376, -0.1162308, -0.9931417
0.01264376, -0.1162308, -0.9931417
0.01264376, -0.1162308, -0.9931417
0.02531983, -0.1058308, -0.9940618
0.03675087, -0.09724341, -0.9945818
0.03675087, -0.09724341, -0.9945818
0.03675087, -0.09724341, -0.9945818
0.03675087, -0.09724341, -0.9945818
0.02683156, -0.1046071, -0.9941516
0.02683156, -0.1046071, -0.9941516
0.02683156, -0.1046071, -0.9941516
0.02683156, -0.1046071, -0.9941516
0.02683156, -0.1046071, -0.9941516
0.03152739, -0.101801, -0.9943051
0.03152739, -0.101801, -0.9943051
0.03284882, -0.1007846, -0.9943659
0.03284882, -0.1007846, -0.9943659
0.03284882, -0.1007846, -0.9943659
